Date,IP,lnIP,CPI,M1,lnM1,RRP
8/1/07,5440000000,22.4170449,2.7, 25.1 ,3.220959029,6
9/1/07,5320000000,22.39473914,2.9, 20.9 ,3.039246596,6
10/1/07,5350000000,22.4003624,2.9, 23.5 ,3.158434765,5.793478261
11/1/07,5390000000,22.40781122,3.1, 16.8 ,2.819683442,5.625
12/1/07,5850000000,22.4897075,3.7, 18.1 ,2.898517156,5.416666667
1/1/08,5600000000,22.44603243,4.6, 9.7 ,2.271211343,5.239130435
2/1/08,5620000000,22.4495975,5.1, 10.4 ,2.34559156,5
3/1/08,5270000000,22.3852962,5.9, 7.2 ,1.979107031,5
4/1/08,5740000000,22.47072505,7.3, 2.4 ,0.8570307,5
5/1/08,5570000000,22.44066089,8.2, 6.2 ,1.817069354,5
6/1/08,5580000000,22.44245461,9.4, 6.5 ,1.874744695,5.214285714
7/1/08,5660000000,22.45668973,10.2, 8.4 ,2.125306953,5.489130435
8/1/08,5460000000,22.42071463,10.5, 11.3 ,2.424635126,5.773809524
9/1/08,5710000000,22.46548486,10.1, 16.1 ,2.77607264,6
10/1/08,5550000000,22.43706376,9.7, 16.2 ,2.783377658,6
11/1/08,4990000000,22.33070175,9.1, 19.1 ,2.951787164,6
12/1/08,4870000000,22.30635977,7.8, 15.5 ,2.742680885,5.782608696
1/1/09,4000000000,22.1095602,7.1, 21.0 ,3.042876202,5.454545455
2/1/09,4260000000,22.172535,7.2, 21.4 ,3.065143722,5
3/1/09,4470000000,22.22065425,6.6, 19.5 ,2.969729768,4.784090909
4/1/09,4500000000,22.22734323,5.6, 19.4 ,2.966841347,4.625
5/1/09,4710000000,22.27295374,4.3, 18.6 ,2.924707927,4.476190476
6/1/09,4740000000,22.27930297,3.2, 19.2 ,2.952615282,4.25
7/1/09,4820000000,22.29603977,2.2, 19.4 ,2.963485924,4.065217391
8/1/09,4850000000,22.30224454,1.7, 21.0 ,3.044360089,4
9/1/09,5150000000,22.36226255,2.3, 19.3 ,2.960150871,4
10/1/09,5230000000,22.37767712,2.9, 17.1 ,2.841049295,4
11/1/09,5330000000,22.39661708,3.5, 16.9 ,2.827880505,4
12/1/09,5470000000,22.42254445,4.4, 14.8 ,2.691551195,4
1/1/10,5420000000,22.41336165,3.9, 16.0 ,2.772481801,4
2/1/10,5590000000,22.44424512,3.9, 15.7 ,2.752705907,4
3/1/10,5630000000,22.45137528,3.9, 16.9 ,2.825238823,4
4/1/10,5900000000,22.49821819,4, 17.7 ,2.872804819,4
5/1/10,5910000000,22.49991167,3.9, 18.9 ,2.936783222,4
6/1/10,5930000000,22.50329005,3.6, 15.8 ,2.762313717,4
7/1/10,5850000000,22.4897075,3.7, 13.5 ,2.605668413,4
8/1/10,6130000000,22.53646059,4.1, 11.3 ,2.426759162,4
9/1/10,5950000000,22.50665706,3.8, 10.4 ,2.343069669,4
10/1/10,6140000000,22.53809058,3.2, 10.8 ,2.381719412,4
11/1/10,6280000000,22.56063582,3.7, 10.6 ,2.360717839,4
12/1/10,6390000000,22.57800011,3.6, 10.7 ,2.373949757,4
1/1/11,6150000000,22.53971792,4, 12.8 ,2.550914657,4
2/1/11,6130000000,22.53646059,4.7, 12.4 ,2.514776204,4
3/1/11,6180000000,22.54458411,4.9, 8.4 ,2.128957888,4.065217391
4/1/11,6070000000,22.52662444,4.7, 8.2 ,2.09914772,4.25
5/1/11,6040000000,22.52166985,4.9, 6.5 ,1.866124043,4.465909091
6/1/11,5910000000,22.49991167,5.2, 7.4 ,2.008068811,4.5
7/1/11,6160000000,22.54134261,4.9, 7.7 ,2.04668926,4.5
8/1/11,6250000000,22.5558473,4.6, 10.3 ,2.327352255,4.5
9/1/11,5970000000,22.51001276,4.7, 10.6 ,2.361203859,4.5
10/1/11,5380000000,22.40595421,5.2, 10.8 ,2.382806313,4.5
11/1/11,5920000000,22.50160229,4.7, 10.4 ,2.345679767,4.5
12/1/11,5940000000,22.50497497,4.2, 10.8 ,2.383467347,4.5
1/1/12,6230000000,22.55264217,4.1, 8.8 ,2.169417031,4.397727273
2/1/12,6540000000,22.601203,3, 5.7 ,1.745797945,4.25
3/1/12,6870000000,22.65042994,2.9, 11.4 ,2.436959211,4
4/1/12,6360000000,22.57329421,3.2, 7.9 ,2.070356645,4
5/1/12,5820000000,22.4845661,2.9, 8.4 ,2.130721053,4
6/1/12,6550000000,22.60273089,2.7, 9.5 ,2.246061449,4
7/1/12,6430000000,22.58424038,3.1, 8.5 ,2.13841818,3.954545455
8/1/12,6440000000,22.58579438,3.7, 7.8 ,2.05573825,3.75
9/1/12,6560000000,22.60425644,3.6, 8.2 ,2.100652956,3.75
10/1/12,6500000000,22.59506801,3.2, 7.1 ,1.9572903,3.695652174
11/1/12,6660000000,22.61938532,2.8, 8.2 ,2.101010842,3.5
12/1/12,6630000000,22.61487064,2.9, 7.5 ,2.011947542,3.5
1/1/13,6780000000,22.63724294,2.8, 8.5 ,2.136351479,3.5
2/1/13,6720000000,22.62835399,2.9, 12.3 ,2.506035125,3.5
3/1/13,6550000000,22.60273089,2.7, 12.6 ,2.53326803,3.5
4/1/13,6540000000,22.601203,2.2, 17.7 ,2.87404138,3.5
5/1/13,6560000000,22.60425644,2.3, 18.4 ,2.913026258,3.5
6/1/13,6550000000,22.60273089,2.5, 22.7 ,3.121277584,3.5
7/1/13,6660000000,22.61938532,2.4, 29.8 ,3.394170875,3.5
8/1/13,6730000000,22.62984098,1.8, 24.9 ,3.215294925,3.5
9/1/13,6830000000,22.64459051,2.3, 25.0 ,3.220376576,3.5
10/1/13,6770000000,22.63576692,2.4, 27.2 ,3.30369448,3.5
11/1/13,6650000000,22.61788269,2.9, 27.2 ,3.30347661,3.5
12/1/13,6700000000,22.62537336,3.8, 27.3 ,3.307218806,3.5
1/1/14,7020000000,22.67202905,3.7, 30.8 ,3.42629004,3.5
2/1/14,7150000000,22.69037819,3.6, 26.4 ,3.272359298,3.5
3/1/14,6680000000,22.62238382,3.5, 23.8 ,3.169799893,3.5
4/1/14,7640000000,22.75666344,3.6, 22.9 ,3.132727667,3.5
5/1/14,7920000000,22.79265704,4, 21.5 ,3.067068625,3.5
6/1/14,8070000000,22.81141932,3.8, 18.4 ,2.913582262,3.5
7/1/14,8060000000,22.81017939,4.2, 14.1 ,2.649557607,3.510869565
8/1/14,8080000000,22.81265771,4.2, 17.3 ,2.85022722,3.75
9/1/14,8220000000,22.82983605,3.9, 17.0 ,2.834872132,3.909090909
10/1/14,8630000000,22.87851034,3.7, 15.5 ,2.738187814,4
11/1/14,8650000000,22.88082516,3, 14.5 ,2.67275096,4
12/1/14,8500000000,22.863332,1.9, 13.3 ,2.584673702,4
1/1/15,7170000000,22.69317149,1.5, 10.6 ,2.363914974,4
2/1/15,6850000000,22.64751449,1.5, 13.3 ,2.584258452,4
3/1/15,7350000000,22.71796615,1.5, 12.7 ,2.541480115,4
4/1/15,7260000000,22.70564567,1.4, 12.0 ,2.484774541,4
5/1/15,7250000000,22.70426731,0.9, 13.1 ,2.57408408,4
6/1/15,7170000000,22.69317149,0.6, 12.9 ,2.557819454,4
7/1/15,7130000000,22.68757707,0.2, 12.8 ,2.547377088,4
8/1/15,7120000000,22.68617356,0, 13.6 ,2.609986571,4
9/1/15,7250000000,22.70426731,-0.4, 15.0 ,2.70503175,4
10/1/15,7330000000,22.71524135,-0.2, 14.9 ,2.701086596,4
11/1/15,7310000000,22.71250911,0.3, 15.0 ,2.705190529,4
12/1/15,7000000000,22.66917599,0.7, 15.2 ,2.718917301,4
1/1/16,7560000000,22.74613703,0.7, 16.5 ,2.80290405,4
2/1/16,7750000000,22.77095868,0.5, 16.5 ,2.801542012,4
3/1/16,7810000000,22.7786708,0.6, 17.3 ,2.851621305,4
4/1/16,8000000000,22.80270738,0.7, 18.2 ,2.902764848,4
5/1/16,7850000000,22.78377937,0.9, 17.4 ,2.856976445,4
6/1/16,7990000000,22.8014566,1.3, 17.4 ,2.859057421,3.090909091
7/1/16,8170000000,22.82373475,1.3, 17.2 ,2.842441143,3
8/1/16,8200000000,22.82739999,1.3, 16.1 ,2.776340753,3
9/1/16,8280000000,22.83710881,1.7, 16.5 ,2.805148409,3
10/1/16,8230000000,22.83105185,1.8, 17.2 ,2.845632963,3
11/1/16,8650000000,22.88082516,2.1, 16.2 ,2.783530948,3
12/1/16,8870000000,22.90594063,2.2, 15.1 ,2.712310469,3
1/1/17,8670000000,22.88313463,2.5, 15.1 ,2.71543945,3
2/1/17,8620000000,22.87735092,3.1, 15.1 ,2.714268871,3
3/1/17,9010000000,22.92160091,3.1, 14.8 ,2.693361203,3
4/1/17,8470000000,22.85979635,3.2, 14.5 ,2.675475881,3
5/1/17,8680000000,22.88428737,2.9, 14.6 ,2.680917415,3
6/1/17,8840000000,22.90255271,2.5, 16.0 ,2.772212966,3
7/1/17,8790000000,22.89688055,2.4, 16.0 ,2.769619173,3
8/1/17,9450000000,22.96928058,2.6, 18.1 ,2.898496142,3
9/1/17,9200000000,22.94246932,3, 16.7 ,2.81390369,3
10/1/17,9170000000,22.93920312,3.1, 17.7 ,2.873516983,3
11/1/17,9300000000,22.95328024,3, 17.2 ,2.847370062,3
12/1/17,10100000000,23.03580126,2.9, 15.7 ,2.752552396,3
1/1/18,9560000000,22.98085356,3.4, 16.8 ,2.82218033,3
2/1/18,9890000000,23.01478998,3.8, 17.3 ,2.850230347,3
3/1/18,9930000000,23.01882632,4.3, 17.8 ,2.876735571,3
4/1/18,10200000000,23.04565356,4.5, 17.3 ,2.848593817,3
5/1/18,9810000000,23.00666811,4.6, 18.2 ,2.900146182,3.173913043
6/1/18,9730000000,22.99847973,5.2, 15.2 ,2.723875757,3.333333333
7/1/18,9710000000,22.99642212,5.7, 14.9 ,2.699683943,3.5
8/1/18,9750000000,23.00053312,6.4, 11.5 ,2.441940539,3.847826087
9/1/18,9370000000,22.96077893,6.7, 11.4 ,2.434117238,4.025
10/1/18,9450000000,22.96928058,6.7, 9.0 ,2.199104774,4.5
11/1/18,9480000000,22.97245015,6, 9.5 ,2.24724766,4.625
12/1/18,9200000000,22.94246932,5.1, 9.5 ,2.253916233,4.75
1/1/19,9120000000,22.93373564,4.4, 7.0 ,1.952901205,4.75
2/1/19,8950000000,22.91491937,3.8, 6.9 ,1.932829072,4.75
3/1/19,9030000000,22.9238182,3.3, 6.1 ,1.806718333,4.75
4/1/19,8800000000,22.89801756,3, 6.1 ,1.807987467,4.75
5/1/19,9050000000,22.92603059,3.2, 5.0 ,1.611819109,4.572580645
6/1/19,8870000000,22.90594063,2.7, 5.5 ,1.702949101,4.5
7/1/19,8900000000,22.90931711,2.4, 6.9 ,1.926134409,4.5
8/1/19,8530000000,22.8668552,1.7, 9.1 ,2.207989636,4.314516129
9/1/19,8790000000,22.89688055,0.9, 10.2 ,2.327168407,4.216666667
10/1/19,9010000000,22.92160091,0.8, 11.3 ,2.42146498,4
11/1/19,8750000000,22.89231954,1.3, 12.9 ,2.558621024,4
12/1/19,8530000000,22.8668552,2.5, 15.7 ,2.754781231,4
1/1/20,9180000000,22.94029304,2.9, 16.9 ,2.830068569,4
2/1/20,9300000000,22.95328024,2.6, 16.2 ,2.784306714,3.801724138
